item,movie_id,genre,continent
0,1,Animation,North America
1,2,Adventure,Europe|North America
2,3,Comedy,North America
3,4,Comedy,North America
4,5,Comedy,North America
5,6,Action,North America
6,7,Comedy,North America
7,8,Adventure,North America
8,9,Action,North America
9,10,Action,North America
10,11,Comedy,North America
11,12,Comedy,North America
12,13,Animation,North America
13,14,Drama,North America
14,15,Action,North America
15,16,Drama,North America
16,17,Drama,North America
17,18,Thriller,North America
18,19,Comedy,North America
19,20,Action,North America
20,21,Action,North America
21,22,Crime,North America
22,23,Thriller,North America
23,24,Drama,North America
24,25,Drama,North America
25,26,Drama,North America
26,27,Drama,North America
27,28,Romance,North America
28,29,Adventure,North America
29,30,Drama,North America
30,31,Drama,North America
31,32,Drama,Europe|North America
32,33,Adventure,North America
33,34,Children's,North America
34,35,Drama,North America
35,36,Drama,North America
36,37,Documentary,North America
37,38,Comedy,North America
38,39,Comedy,North America
39,40,Drama,Europe|North America
40,41,Drama,North America
41,42,Action,North America
42,43,Drama,Asia|Europe|North America
43,44,Action,Europe|North America
44,45,Comedy,North America
45,46,Drama,North America
46,47,Crime,Europe
47,48,Animation,Europe
48,49,Drama,North America
49,50,Crime,North America
50,52,Comedy,North America
51,53,Drama,Europe
52,54,Children's,North America
53,55,Drama,Europe|North America
54,56,Adventure,North America
55,57,Drama,North America
56,58,Drama,North America
57,59,Drama,North America
58,60,Adventure,North America
59,61,Drama,North America
60,62,Drama,Europe
61,63,Comedy,North America
62,64,Comedy,North America
63,65,Comedy,North America
64,66,Sci-Fi,Europe
65,67,Drama,North America
66,68,Comedy,North America
67,69,Comedy,North America
68,70,Action,North America
69,71,Action,North America
70,72,Comedy,North America
71,73,Drama,North America
72,74,Drama,North America
73,75,Comedy,North America
74,76,Sci-Fi,North America
75,77,Documentary,North America
76,78,Drama,North America
77,79,Drama,Europe|North America
78,80,Drama,Europe
79,81,Crime,North America
80,82,Drama,North America
81,83,Drama,Europe|North America
82,84,Comedy,North America
83,85,Drama,Europe
84,86,Adventure,Europe|North America
85,87,Children's,North America
86,88,Comedy,North America
87,89,Action,North America
88,90,Drama,North America
89,92,Drama,North America
90,93,Comedy,Europe
91,94,Drama,North America
92,95,Action,North America
93,96,Comedy,Europe|North America
94,97,Drama,North America
95,98,Action,Europe|North America
96,99,Documentary,North America
97,100,Drama,Asia|Europe|North America
98,101,Comedy,North America
99,102,Comedy,Europe|North America
100,103,Thriller,North America
101,104,Comedy,North America
102,105,Drama,North America
103,106,Comedy,North America
104,107,Adventure,North America
105,108,Documentary,North America
106,110,Action,North America
107,111,Drama,North America
108,112,Action,North America
109,113,Drama,North America
110,114,Drama,North America
111,116,Documentary,North America
112,117,Crime,North America
113,118,Comedy,Europe
114,119,Comedy,North America
115,120,Drama,North America
116,121,Drama,North America
117,122,Comedy,Europe
118,123,Drama,Europe
119,124,Drama,Europe
120,125,Comedy,North America
121,126,Adventure,Asia
122,127,Drama,North America
123,128,Documentary,North America
124,129,Comedy,North America
125,130,Drama,Europe|North America
126,131,Drama,Europe|North America
127,132,Thriller,Europe|North America
128,133,Comedy,North America
129,135,Comedy,North America
130,136,Documentary,North America
131,137,Documentary,North America
132,138,Drama,Europe
133,139,Action,Europe
134,140,Drama,North America|South America
135,141,Comedy,North America
136,144,Comedy,Europe
137,145,Action,North America
138,146,Adventure,North America
139,147,Drama,Europe|North America
140,148,Drama,North America
141,149,Crime,North America
142,150,Drama,North America
143,151,Drama,Europe
144,152,Horror,Europe
145,153,Action,Europe
146,154,Drama,Europe
147,155,Drama,North America
148,156,Comedy,North America
149,157,Comedy,North America
150,158,Adventure,Europe|North America
151,159,Drama,North America
152,160,Action,Europe
153,161,Drama,Europe
154,162,Documentary,Europe
155,163,Action,Europe
156,164,Crime,North America
157,165,Action,North America
158,166,Comedy,North America
159,167,Drama,Europe|North America
160,168,Action,Europe
161,169,Adventure,North America
162,170,Action,Europe|North America
163,171,Comedy,Europe
164,172,Action,Europe
165,173,Action,Europe
166,174,Comedy,Europe
167,175,Drama,Europe
168,176,Comedy,Europe
169,177,Horror,North America
170,178,Comedy,North America
171,179,Drama,North America
172,180,Comedy,Europe
173,181,Action,North America
174,182,Drama,Europe|North America
175,183,Thriller,Europe
176,184,Drama,Europe
177,185,Sci-Fi,North America
178,186,Comedy,North America
179,187,Comedy,Europe|Oceania
180,188,Horror,North America
181,189,Comedy,North America
182,190,Thriller,Europe
183,191,Drama,North America
184,192,Documentary,North America
185,193,Drama,North America
186,194,Drama,North America
187,195,Comedy,North America
188,196,Horror,North America
189,197,Drama,North America
190,198,Action,Europe|North America
191,199,Drama,Europe|North America
192,200,Thriller,North America
193,201,Drama,Europe|North America
194,202,Drama,Europe
195,203,Comedy,Europe
196,204,Action,North America
197,205,Comedy,Europe
198,206,Documentary,Europe|North America
199,207,Drama,North America
200,208,Action,North America
