item_id,track_id,genre,continent
0,0,Rock,Europe
1,1,Rap/hip-hop,Asia
2,2,Pop,North America
3,3,Pop,North America
4,4,Electronic/dance,North America
5,5,Rap/hip-hop,Asia
6,6,Pop,North America
7,8,Electronic/dance,North America
8,9,Pop,North America
9,10,Electronic/dance,North America
10,11,Pop,North America
11,12,Rock,South America
12,13,Pop,North America
13,14,Pop,North America
14,15,Pop,North America
15,16,Pop,North America
16,17,Pop,North America
17,18,Pop,North America
18,19,Pop,North America
19,20,Pop,North America
20,21,Pop,North America
21,23,Pop,North America
22,24,Pop,North America
23,26,Country,North America
24,29,Pop,North America
25,33,Pop,North America
26,35,Rock,North America
27,36,Country,North America
28,37,Pop,North America
29,38,Pop,North America
30,40,Rock,North America
31,41,Country,North America
32,42,Rap/hip-hop,Oceania
33,46,Pop,North America
34,48,Rap/hip-hop,Asia
35,49,Electronic/dance,North America
36,50,Pop,North America
37,52,Rock,Europe
38,53,Rock,Europe
39,54,Pop,North America
40,56,Rock,South America
41,57,Pop,North America
42,59,Pop,South America
43,60,Pop,North America
44,61,Rock,North America
45,62,Electronic/dance,North America
46,63,Soul/funk,North America
47,66,Pop,North America
48,69,Pop,North America
49,70,Pop,North America
50,71,Pop,North America
51,72,Pop,North America
52,73,Rock,South America
53,74,Rock,North America
54,78,Pop,North America
55,79,Pop,North America
56,80,Country,North America
57,84,Rap/hip-hop,Asia
58,85,Soul/funk,North America
59,86,Rock,South America
60,87,Rock,North America
61,88,Country,North America
62,90,Rock,Europe
63,91,Rock,Europe
64,92,Pop,North America
65,93,Rock,South America
66,94,Pop,North America
67,95,Pop,North America
68,97,Pop,Oceania
69,98,Pop,South America
70,99,Pop,North America
71,101,Rock,North America
72,103,Heavy metal,North America
73,105,Pop,Europe
74,106,Heavy metal,North America
75,107,Heavy metal,North America
76,108,Heavy metal,North America
77,110,Rock,North America
78,116,Rock,Europe
79,121,Pop,Asia
80,122,Rock,Europe
81,123,Rock,North America
82,125,Rock,North America
83,127,Heavy metal,North America
84,128,Rock,Europe
85,129,Pop,Asia
86,130,Rock,Europe
87,132,Rock,North America
88,134,Rock,Europe
89,135,Pop,Asia
90,141,Rock,North America
91,142,Rock,Europe
92,146,Rock,Europe
93,151,Rock,North America
94,152,Rock,North America
95,158,Electronic/dance,North America
